columns
odometer
vehicle_age
acura
alfa-romeo
audi
bmw
buick
cadillac
chevrolet
chrysler
dodge
fiat
ford
gmc
honda
hyundai
infiniti
jaguar
jeep
kia
lexus
lincoln
mazda
mercedes-benz
mercury
mini
mitsubishi
nissan
pontiac
porsche
ram
rover
saturn
subaru
tesla
toyota
volkswagen
volvo
excellent
fair
good
like new
new
diesel
electric
gas
hybrid
automatic
manual
4wd
fwd
black
blue
brown
green
grey
orange
purple
red
silver
white
yellow
ak
al
ar
az
ca
co
ct
dc
de
fl
ga
hi
ia
id
il
in
ks
ky
la
ma
md
me
mi
mn
mo
ms
mt
nc
ne
nh
nj
nm
nv
ny
oh
ok
or
pa
ri
sc
sd
tn
tx
ut
va
vt
wa
wi
wv
wy
